[*] Current bb: 32264 | Edge number: 39746 | Level: 13 | Target: readelf.c:24975 | Next bb dom: 21136 | location: ../../binutils/readelf.c :24841
[*] Current bb: 32264 | Edge number: 39746 | Level: 13 | Target: readelf.c:24975 | Next bb dom: 21136 | location: ../../binutils/readelf.c :24841
[*] Current bb: 32264 | Edge number: 39746 | Level: 13 | Target: readelf.c:24975 | Next bb dom: 21136 | location: ../../binutils/readelf.c :24841
[*] Current bb: 32264 | Edge number: 39746 | Level: 13 | Target: readelf.c:24975 | Next bb dom: 21136 | location: ../../binutils/readelf.c :24841
[*] Current bb: 32264 | Edge number: 4685 | Level: 13 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24841
[*] Current bb: 32264 | Edge number: 4685 | Level: 13 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24841
[*] Current bb: 32264 | Edge number: 4685 | Level: 13 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24841
[*] Current bb: 32264 | Edge number: 4685 | Level: 13 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24841
[*] Current bb: 32264 | Edge number: 4685 | Level: 13 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24841
[*] Current bb: 57879 | Edge number: 13710 | Level: 12 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24837
[*] Current bb: 57879 | Edge number: 13710 | Level: 12 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24837
[*] Current bb: 57879 | Edge number: 13710 | Level: 12 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24837
[*] Current bb: 57879 | Edge number: 13710 | Level: 12 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24837
[*] Current bb: 57879 | Edge number: 13710 | Level: 12 | Target: readelf.c:24975 | Next bb dom: 0 | location: ../../binutils/readelf.c :24837
[*] Current bb: 57879 | Edge number: 59386 | Level: 12 | Target: readelf.c:24975 | Next bb dom: 32264 | location: ../../binutils/readelf.c :24837
[*] Current bb: 57879 | Edge number: 59386 | Level: 12 | Target: readelf.c:24975 | Next bb dom: 32264 | location: ../../binutils/readelf.c :24837
[*] Current bb: 57879 | Edge number: 59386 | Level: 12 | Target: readelf.c:24975 | Next bb dom: 32264 | location: ../../binutils/readelf.c :24837
[*] Current bb: 57879 | Edge number: 59386 | Level: 12 | Target: readelf.c:24975 | Next bb dom: 32264 | location: ../../binutils/readelf.c :24837
[*] Current bb: 57879 | Edge number: 59386 | Level: 12 | Target: readelf.c:24975 | Next bb dom: 32264 | location: ../../binutils/readelf.c :24837
